-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.07,36.328,404.662933,20.1162357
2,0.12,29.664,358.343231,18.9299564
3,0.16,23.637,292.280396,17.0962105
4,0.19,18.53,216.199677,14.7037306
5,0.18,14.462,145.423889,12.0591822
6,0.21,11.163,94.266571,9.70909786
7,0.21,9.0961,59.2561455,7.69780159
8,0.23,7.8139,39.1926689,6.26040459
9,0.3,6.2083,28.0630817,5.29746008
10,0.41,4.6566,21.1433697,4.59819174
11,0.55,2.9197,11.5815449,3.40316677
12,0.67,2.1148,7.65159941,2.76615238
13,0.71,2.1652,9.63765144,3.10445666
14,0.72,2.4226,11.649622,3.41315436
15,0.74,2.2405,11.2479172,3.35379148
16,0.77,1.9554,10.679759,3.26799011
17,0.8,1.4387,7.30814362,2.70335793
18,0.88,0.88906,3.32440376,1.82329476
19,0.94,0.7141,2.84529901,1.68680143
20,0.94,0.79943,4.21192503,2.05229759
21,0.93,0.88475,5.28120279,2.29808688
22,0.89,1.164,8.43382263,2.90410447
23,0.89,0.86263,5.51520491,2.34844732
24,0.95,0.41375,1.9579339,1.39926195
25,0.98,0.24973,1.38267291,1.17587113
26,0.99,0.11436,0.190935969,0.436962217
27,1,0.073297,0.029891875,0.17289266
28,1,0.094429,0.568964541,0.754297376
29,1,0.065762,0.124409929,0.352717906
30,1,0.048963,0.00953839,0.097664684
31,1,0.063931,0.168246239,0.410178304
32,1,0.044449,0.007425057,0.086168774
33,1,0.040098,0.00037477,0.01935897
34,1,0.039685,0.000281354,0.016773598
35,1,0.039648,0.000277865,0.016669296
36,1,0.039643,0.000277582,0.01666078
37,1,0.039643,0.000277561,0.016660148
38,1,0.039643,0.000277579,0.016660692
39,1,0.039643,0.000277551,0.016659856
40,1,0.039644,0.000277542,0.016659599
41,1,0.039644,0.000277556,0.016660009
42,1,0.039644,0.00027755,0.016659843
43,1,0.039645,0.000277543,0.016659625
44,1,0.039645,0.000277546,0.016659709
45,1,0.039645,0.000277574,0.016660549
46,1,0.039644,0.000277559,0.016660087
47,1,0.039644,0.000277573,0.016660512
48,1,0.039644,0.000277544,0.016659655
49,1,0.039644,0.000277535,0.01665939
50,1,0.039644,0.000277571,0.016660463
51,1,0.039644,0.000277561,0.01666016
52,1,0.039643,0.000277568,0.016660366
53,1,0.039644,0.000277571,0.016660461
54,1,0.039643,0.000277575,0.016660592
55,1,0.039644,0.000277573,0.016660515
56,1,0.039643,0.000277591,0.016661059
57,1,0.039644,0.000277578,0.016660664
58,1,0.039644,0.000277579,0.016660707
59,1,0.039644,0.000277552,0.016659878
60,1,0.039644,0.00027756,0.01666012
61,1,0.039644,0.000277559,0.016660096
62,1,0.039645,0.000277529,0.016659189
63,1,0.039644,0.000277543,0.016659614
64,1,0.039646,0.00027754,0.016659534
65,1,0.039644,0.000277553,0.016659925
66,1,0.039644,0.000277566,0.016660322
67,1,0.039644,0.000277563,0.016660236
68,1,0.039644,0.000277556,0.016660009
69,1,0.039644,0.000277559,0.016660113
70,1,0.039644,0.000277564,0.016660247
71,1,0.039643,0.000277538,0.016659474
72,1,0.039643,0.000277544,0.01665966
73,1,0.039644,0.000277583,0.016660813
74,1,0.039644,0.000277553,0.01665993
75,1,0.039644,0.000277529,0.016659193
76,1,0.039644,0.000277539,0.016659517
77,1,0.039644,0.000277553,0.016659923
78,1,0.039644,0.000277593,0.016661109
79,1,0.039644,0.000277575,0.016660584
