-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.047,40.645,398.233826,19.9557972
2,0.073,33.852,362.716095,19.0451069
3,0.09,27.479,309.699554,17.5982819
4,0.14,21.751,246.496353,15.7002029
5,0.16,17.045,179.159424,13.3850451
6,0.16,13.312,122.184456,11.0537081
7,0.17,10.486,79.1654587,8.89749718
8,0.23,8.144,51.0655518,7.1460166
9,0.31,6.2532,32.8141747,5.7283659
10,0.38,4.6705,21.5108318,4.63797712
11,0.45,3.3635,12.1646242,3.487782
12,0.51,2.7709,7.38954401,2.71837163
13,0.48,2.6927,5.54867506,2.35556245
14,0.52,2.4434,5.11817789,2.26233912
15,0.58,2.2923,5.41781235,2.32761931
16,0.61,2.0353,4.09855461,2.02448869
17,0.63,2.0989,4.59499073,2.14359283
18,0.66,1.8489,3.10255194,1.76140618
19,0.67,1.8036,2.68363047,1.63817906
20,0.65,1.8613,2.98812342,1.72861886
21,0.67,1.8525,3.20323825,1.78975928
22,0.67,1.7296,2.94036889,1.71475041
23,0.67,1.6983,2.59322762,1.61035013
24,0.65,1.708,2.32899952,1.526106
25,0.66,1.6866,2.37436366,1.54089701
26,0.67,1.685,2.29376435,1.51451778
27,0.68,1.7493,2.92337561,1.7097882
28,0.69,1.6276,2.08251405,1.44309187
29,0.67,1.6361,1.9604888,1.4001745
30,0.62,1.78,2.70731139,1.64539099
31,0.67,1.6959,2.21331811,1.48772252
32,0.64,1.6861,1.91509855,1.38387084
33,0.68,1.7173,2.40151024,1.54968071
34,0.65,1.7435,2.45463133,1.56672633
35,0.65,1.66,1.88116944,1.37155735
36,0.65,1.7011,2.47525191,1.57329333
37,0.65,1.6816,1.82111692,1.34948766
38,0.63,1.7312,2.12333775,1.45716774
39,0.65,1.7681,2.19904351,1.48291731
40,0.63,1.7377,1.98149443,1.4076556
41,0.65,1.8557,2.88594365,1.69880652
42,0.63,1.7195,1.84223247,1.3572886
43,0.61,1.8136,2.3424964,1.53052163
44,0.63,1.7528,1.91420841,1.38354921
45,0.63,1.7396,1.97006226,1.40358901
46,0.62,1.7576,2.11455607,1.45415139
47,0.65,1.711,2.07241559,1.43958867
48,0.65,1.7127,2.17200947,1.47377396
49,0.66,1.7263,2.34261322,1.53055978
50,0.66,1.6924,2.19122362,1.48027825
51,0.65,1.7096,2.31997132,1.5231452
52,0.63,1.7053,1.9523797,1.39727581
53,0.65,1.6517,1.85452676,1.36181009
54,0.66,1.6958,1.91140902,1.38253713
55,0.63,1.714,2.07767558,1.44141448
56,0.64,1.7425,2.19786811,1.48252094
57,0.65,1.7321,2.23291111,1.49429286
58,0.64,1.7249,2.29359508,1.51446199
59,0.62,1.76,2.29168987,1.51383281
60,0.64,1.7284,2.06255436,1.43615949
61,0.62,1.6919,1.87240779,1.36835957
62,0.65,1.7633,2.15375948,1.46756923
63,0.62,1.7678,2.21076679,1.48686469
64,0.64,1.7761,2.39284086,1.54688108
65,0.64,1.76,2.33778024,1.52898014
66,0.65,1.6947,2.19697189,1.4822185
67,0.66,1.7368,2.41125178,1.55282056
68,0.66,1.7244,2.26951027,1.5064894
69,0.64,1.7178,2.14072824,1.46312273
70,0.65,1.7151,2.19656706,1.48208201
71,0.64,1.7154,2.07243299,1.43959475
72,0.64,1.7445,2.03295493,1.42581725
73,0.64,1.738,2.18095613,1.47680604
74,0.65,1.7261,2.30231833,1.51733923
75,0.63,1.7661,2.20668149,1.48549032
76,0.63,1.7573,2.35572839,1.5348382
77,0.64,1.7128,2.10670638,1.45144975
78,0.63,1.7377,2.17709899,1.47549951
79,0.65,1.6884,2.04863882,1.43130672
80,0.65,1.7514,2.12713289,1.45846939
81,0.64,1.7181,2.15287328,1.46726727
82,0.64,1.6903,1.99495614,1.41242921
83,0.63,1.7292,2.11444473,1.45411301
84,0.64,1.6986,2.11865997,1.45556176
85,0.65,1.7328,2.15767527,1.46890271
86,0.68,1.6694,1.90141797,1.37891912
87,0.64,1.6985,2.01973796,1.42117488
88,0.64,1.7384,2.11527944,1.45440006
89,0.64,1.6811,1.95227933,1.39723992
90,0.64,1.7247,2.03757644,1.42743707
91,0.66,1.6997,2.14060569,1.46308088
92,0.64,1.6935,1.97457433,1.40519547
93,0.64,1.7026,2.10043907,1.4492892
94,0.64,1.7232,2.10832667,1.45200789
95,0.63,1.7237,2.17220402,1.47383988
96,0.63,1.7326,2.01628089,1.419958
97,0.63,1.7332,2.13950706,1.46270537
98,0.67,1.6815,1.93618727,1.39146948
99,0.64,1.7089,2.00577688,1.41625452
100,0.64,1.7181,2.07511163,1.4405247
101,0.64,1.734,2.27323222,1.50772417
102,0.65,1.7523,2.41833544,1.55509984
103,0.66,1.7227,2.24554133,1.49851298
104,0.64,1.6921,1.99095917,1.41101348
105,0.65,1.716,2.10098052,1.44947588
106,0.64,1.7165,2.01123667,1.4181807
107,0.65,1.7238,2.01339126,1.41894019
108,0.64,1.7232,2.13888884,1.46249402
109,0.64,1.7774,2.35456324,1.53445864
110,0.63,1.7586,2.33217239,1.52714515
111,0.63,1.7484,2.20731688,1.48570418
112,0.65,1.7105,2.03671527,1.42713535
113,0.65,1.7211,2.03908467,1.42796528
114,0.64,1.7206,1.91836214,1.38504946
115,0.63,1.7247,2.08080268,1.4424988
116,0.62,1.6999,2.05280972,1.43276298
117,0.64,1.6877,1.99368894,1.41198051
118,0.68,1.6244,2.05845237,1.43473077
119,0.66,1.665,2.00947595,1.41755986
120,0.66,1.6626,2.0906868,1.44592071
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.037,39.062,364.142944,19.0825291
2,0.067,32.258,335.893494,18.3273983
3,0.1,25.923,291.556854,17.075037
