-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.044,38.982,419.979828,20.4934101
2,0.062,32.974,383.963867,19.5949955
3,0.086,27.475,332.889496,18.2452602
4,0.094,22.812,266.963928,16.3390312
5,0.07,19.025,201.371918,14.1905575
6,0.1,15.725,152.695343,12.3569956
7,0.17,12.735,119.882339,10.9490795
8,0.24,10.014,93.1413269,9.65097523
9,0.27,7.9723,67.9820328,8.24512196
10,0.28,6.4697,46.3650551,6.80918884
11,0.33,5.0748,29.0256577,5.38754654
12,0.38,4.1214,16.0511703,4.00639105
13,0.39,3.5836,10.4493628,3.23254728
14,0.45,3.1405,7.89164591,2.80920744
15,0.48,2.8221,6.57137775,2.56346989
16,0.49,2.694,6.15188885,2.48030019
17,0.54,2.5792,5.97785473,2.44496512
18,0.55,2.5076,5.43361759,2.33101201
19,0.54,2.4323,4.72361088,2.17338705
20,0.54,2.4367,4.58923674,2.14225054
21,0.58,2.3013,4.43255186,2.10536265
22,0.59,2.3005,4.69405222,2.16657615
23,0.57,2.2237,4.18553543,2.04585814
24,0.59,2.2645,4.33654881,2.08243823
25,0.59,2.12,3.54922652,1.88393915
26,0.56,2.1881,3.58173609,1.89254749
27,0.57,2.1739,3.34823465,1.82981825
28,0.57,2.2128,3.96245599,1.99059188
29,0.56,2.2016,3.55930758,1.88661277
30,0.58,2.1662,3.7242291,1.92982626
31,0.57,2.1052,3.29428887,1.81501758
32,0.6,1.9891,3.08125091,1.75534916
33,0.61,2.0283,3.185148,1.78469837
34,0.6,2.1352,3.77888322,1.94393504
35,0.6,2.0135,3.19503045,1.78746486
36,0.57,2.1285,3.92463923,1.98107028
37,0.6,2.0542,3.42072582,1.84952044
38,0.59,2.0492,3.0859499,1.75668716
39,0.58,2.0203,3.04604149,1.74529123
40,0.56,2.128,3.49535275,1.86958623
41,0.57,2.0817,3.02007771,1.73783708
42,0.58,2.0053,2.84378242,1.68635178
43,0.57,2.0369,3.05029559,1.74650955
44,0.55,2.1208,3.10830164,1.76303756
45,0.56,2.0928,3.17719984,1.78247011
46,0.58,2.059,3.23745608,1.79929328
47,0.58,2.0617,3.02356148,1.73883915
48,0.56,2.1539,3.57467127,1.89068007
49,0.57,2.0912,3.19040442,1.78617036
50,0.59,2.1116,3.16795468,1.77987492
51,0.57,2.081,3.04822063,1.74591541
52,0.55,2.1166,3.07491732,1.75354421
53,0.58,2.125,3.28001022,1.81107986
54,0.57,2.1305,3.19183683,1.78657126
55,0.57,2.1211,3.15461516,1.77612364
56,0.56,2.163,3.22920752,1.79699957
57,0.56,2.1094,3.24650383,1.80180573
58,0.57,2.1182,3.06116915,1.74961972
