-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.055,37.343,454.79306,21.3258781
2,0.1,30.379,413.881317,20.3440742
3,0.16,24.012,351.14093,18.7387543
4,0.19,18.547,275.980652,16.6126652
5,0.26,14.043,201.160446,14.1831045
6,0.29,10.695,132.397858,11.5064268
7,0.29,8.6312,79.7044983,8.92773724
8,0.3,7.214,46.72929,6.83588219
9,0.35,5.8374,30.1427441,5.49024105
10,0.44,4.4853,20.5718174,4.5356164
11,0.45,3.6157,13.8664608,3.72376966
12,0.51,2.7912,8.25072956,2.87240839
13,0.58,2.5578,7.29759073,2.70140529
14,0.6,2.602,8.67857838,2.94594264
15,0.6,2.4258,7.47041559,2.73320603
16,0.59,2.5258,8.82694817,2.97101808
17,0.58,2.495,8.68367386,2.94680738
18,0.64,2.1671,6.79513645,2.60674834
19,0.65,1.851,4.16767502,2.04148841
20,0.68,1.7639,3.84652257,1.96125531
21,0.64,1.7671,4.09620762,2.02390885
22,0.64,1.7763,3.62483573,1.90390015
23,0.68,1.7141,3.16800618,1.77988935
24,0.67,1.6154,2.50533867,1.58282614
25,0.66,1.5849,2.12282038,1.45699012
26,0.64,1.6226,2.25894594,1.50297904
27,0.64,1.5801,2.1067543,1.45146632
28,0.67,1.5593,1.98083293,1.40742064
29,0.69,1.5386,2.08565378,1.4441793
30,0.64,1.5749,1.88267887,1.37210751
31,0.65,1.5785,2.10934615,1.45235884
32,0.67,1.6311,2.25005817,1.50001931
33,0.65,1.5852,2.10643005,1.45135462
34,0.67,1.495,1.91033995,1.38215053
35,0.66,1.5395,1.87644708,1.36983466
36,0.67,1.5034,1.93455005,1.39088106
37,0.69,1.5674,1.99602461,1.41280735
38,0.68,1.5112,1.83436346,1.35438669
39,0.66,1.5439,2.00482559,1.41591859
40,0.65,1.5521,2.01588345,1.41981816
41,0.69,1.5137,1.84854519,1.35961211
42,0.69,1.5274,1.87880731,1.37069595
43,0.68,1.519,1.90355599,1.37969422
44,0.68,1.5221,1.95601451,1.3985759
45,0.67,1.5507,1.97509074,1.40537918
46,0.67,1.5306,2.04849386,1.43125606
47,0.67,1.5861,2.11280608,1.4535495
48,0.66,1.4959,1.85229981,1.36099219
49,0.67,1.5031,1.91652024,1.38438439
50,0.67,1.4874,1.91722536,1.38463914
51,0.69,1.5012,1.93975782,1.39275181
52,0.67,1.5183,1.97817326,1.40647554
53,0.69,1.5341,1.9968158,1.41308737
54,0.67,1.5474,1.97514725,1.40539932
55,0.67,1.5054,1.97253513,1.40446973
56,0.69,1.48,1.78333795,1.33541679
57,0.67,1.4862,1.82117212,1.34950817
58,0.68,1.4905,1.81415784,1.34690678
59,0.65,1.5193,1.95328677,1.39760029
60,0.66,1.5418,2.04640102,1.43052471
61,0.67,1.5434,2.02759314,1.42393577
62,0.68,1.4894,1.8606497,1.36405635
63,0.69,1.4834,1.82942045,1.35256076
64,0.69,1.4596,1.82849157,1.35221732
65,0.68,1.4918,1.89121044,1.37521291
66,0.7,1.4699,1.80990231,1.34532607
67,0.69,1.4952,1.8438735,1.35789299
68,0.67,1.5262,1.98737276,1.40974212
69,0.68,1.4885,1.74037004,1.31923091
70,0.68,1.4859,1.85833406,1.36320722
71,0.69,1.4967,1.90066493,1.37864602
72,0.69,1.4893,1.81608355,1.34762144
73,0.68,1.5052,1.98134363,1.40760207
74,0.68,1.524,1.95336008,1.39762664
75,0.7,1.498,2.02733779,1.42384613
76,0.68,1.4978,1.85774255,1.36299026
77,0.7,1.4447,1.83902991,1.35610831
78,0.69,1.4639,1.9150027,1.38383627
79,0.65,1.4893,1.88439643,1.37273324
80,0.68,1.4958,1.89412069,1.37627053
81,0.66,1.523,1.8044858,1.34331155
82,0.69,1.479,1.85805011,1.36310315
83,0.69,1.5093,1.84714818,1.35909832
84,0.69,1.4612,1.78662872,1.33664834
85,0.68,1.5107,1.92761791,1.38838685
86,0.69,1.4834,1.74346197,1.32040226
87,0.68,1.496,1.86279535,1.36484265
88,0.67,1.5274,2.00642323,1.41648269
89,0.68,1.4812,1.91553867,1.38402987
90,0.69,1.4712,1.93422902,1.39076555
91,0.68,1.4511,1.68922114,1.29970038
92,0.69,1.4767,1.81384051,1.34678888
93,0.68,1.4806,1.81341767,1.346632
94,0.68,1.5031,1.84763885,1.3592788
95,0.67,1.5112,1.88740909,1.37383008
96,0.68,1.4946,1.74608457,1.32139492
97,0.68,1.4995,1.85749745,1.36290038
98,0.69,1.4758,1.89512444,1.37663519
99,0.7,1.5046,1.86196554,1.36453855
100,0.69,1.4813,1.92538798,1.38758349
101,0.67,1.5171,1.84545028,1.35847354
102,0.66,1.5357,2.14079905,1.46314704
103,0.69,1.4804,1.80485511,1.343449
104,0.7,1.4748,1.83922648,1.35618091
105,0.68,1.4672,1.94298351,1.39390945
106,0.68,1.4791,1.81031203,1.34547842
107,0.69,1.4695,1.85024273,1.36023629
108,0.68,1.5022,1.8451004,1.35834479
109,0.66,1.5309,1.97038901,1.40370548
110,0.69,1.5115,1.9960289,1.4128089
111,0.68,1.4891,1.7973423,1.34064996
112,0.68,1.4844,1.90224719,1.37921977
113,0.69,1.4546,1.62243748,1.27374935
114,0.65,1.5024,1.86634851,1.3661437
115,0.67,1.5303,2.07969022,1.44211304
116,0.69,1.5382,2.12163091,1.45658195
117,0.69,1.488,1.92344797,1.38688433
118,0.68,1.4468,1.69503093,1.30193353
119,0.68,1.4704,1.84350991,1.35775912
120,0.68,1.4537,1.84170234,1.35709333
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.04,38.656,450.248657,21.2190628
2,0.09,31.671,408.849976,20.2200394
3,0.14,25.157,353.663147,18.805933
4,0.19,19.536,283.231689,16.8294888
5,0.23,14.995,210.048615,14.4930544
6,0.24,11.736,140.713638,11.862278
7,0.24,9.7314,87.9091873,9.37598991
8,0.28,7.827,56.1938019,7.49625254
9,0.34,5.9745,35.2007751,5.93302441
10,0.37,4.7249,23.2496834,4.8217926
11,0.48,3.6675,15.8112164,3.97633195
12,0.5,3.2082,11.5114727,3.39285612
13,0.54,2.8641,9.79469872,3.12964845
14,0.59,2.6541,9.23853874,3.03949642
15,0.56,2.5319,9.09253407,3.01538301
16,0.58,2.6013,8.88144016,2.98017454
17,0.58,2.5756,9.02669621,3.00444603
18,0.55,2.9322,11.3966579,3.37589359
19,0.56,2.4594,8.11265182,2.84827161
20,0.61,2.1945,6.57246876,2.56368256
21,0.6,2.0828,5.95531178,2.44035077
22,0.62,1.9336,4.76110935,2.18199658
23,0.66,1.7425,3.57034039,1.88953447
24,0.63,1.7679,3.2769506,1.8102349
25,0.65,1.7776,3.65981531,1.91306436
26,0.65,1.6039,2.33241153,1.52722347
27,0.65,1.7524,3.62000084,1.90262997
28,0.64,1.6446,2.54388618,1.5949564
29,0.67,1.5499,1.84521568,1.35838723
30,0.66,1.5588,1.96088529,1.40031612
31,0.66,1.6087,2.19192791,1.48051608
32,0.68,1.5888,2.06212258,1.43600929
33,0.65,1.5679,2.06845117,1.43821108
34,0.65,1.5977,2.10327315,1.4502666
35,0.67,1.5278,2.0025208,1.41510451
36,0.67,1.5135,1.91331744,1.38322723
37,0.65,1.5539,2.04094577,1.42861676
38,0.69,1.5388,2.15000319,1.46628892
39,0.68,1.5231,2.03934407,1.428056
40,0.67,1.5032,2.02747011,1.42389262
41,0.68,1.4761,1.87127388,1.36794519
42,0.69,1.4716,1.79245484,1.33882594
43,0.7,1.5117,1.90044332,1.37856567
44,0.66,1.5634,2.01196957,1.41843915
45,0.66,1.5824,2.22148275,1.49046397
46,0.67,1.5424,1.98560846,1.40911627
47,0.67,1.5077,1.87307024,1.36860156
48,0.67,1.5255,1.93857539,1.39232731
49,0.69,1.4812,1.83364892,1.35412288
50,0.68,1.5397,2.03366399,1.42606592
51,0.68,1.5026,1.95455718,1.39805472
52,0.67,1.5412,2.05318975,1.43289554
53,0.65,1.5144,2.08763289,1.44486439
54,0.7,1.4603,1.87969816,1.37102079
55,0.7,1.4577,1.82063723,1.34930992
56,0.68,1.5048,1.90161693,1.37899125
57,0.68,1.5399,2.01723599,1.4202944
58,0.67,1.5744,2.08830428,1.44509661
59,0.67,1.5725,2.09996843,1.44912684
60,0.67,1.5074,1.86980224,1.36740708
61,0.67,1.5509,2.07073402,1.43900454
62,0.68,1.5258,1.95112407,1.39682639
63,0.66,1.5383,1.8766582,1.36991179
64,0.7,1.5303,2.10329819,1.45027518
65,0.67,1.5425,2.08737445,1.44477487
66,0.68,1.5928,2.4864459,1.57684684
67,0.67,1.5132,1.99012649,1.41071844
68,0.67,1.5483,2.1457746,1.46484625
69,0.71,1.4542,1.84190094,1.35716653
70,0.69,1.512,1.97499108,1.40534377
71,0.68,1.5148,1.9007014,1.37865925
72,0.69,1.5572,2.18532276,1.47828376
73,0.67,1.5784,2.2093842,1.48639977
74,0.68,1.5448,1.94119442,1.39326751
75,0.65,1.5725,2.21093845,1.4869225
76,0.67,1.4983,1.95145786,1.39694583
77,0.66,1.5436,2.09755826,1.448295
78,0.68,1.5295,2.12065792,1.45624793
79,0.65,1.5832,2.17165637,1.47365415
80,0.68,1.523,2.24747181,1.49915707
81,0.68,1.4981,2.13007164,1.45947647
82,0.66,1.5269,2.14067817,1.46310568
83,0.68,1.4855,1.877262,1.37013209
84,0.69,1.5085,2.01381111,1.41908813
85,0.68,1.5077,2.00924921,1.41747987
86,0.66,1.5037,1.89543271,1.37674713
87,0.68,1.5285,2.0695231,1.43858373
88,0.65,1.5136,1.87996554,1.37111831
89,0.67,1.5199,1.83943689,1.35625839
90,0.67,1.5119,1.98565841,1.40913391
91,0.7,1.4541,1.71686113,1.31029046
92,0.67,1.529,2.05394697,1.43315971
93,0.67,1.5283,1.90764952,1.38117683
94,0.68,1.5736,2.20833063,1.48604524
95,0.66,1.5029,2.00704622,1.41670263
96,0.69,1.4604,1.83477008,1.35453689
97,0.69,1.4872,1.85335171,1.36137855
98,0.69,1.4953,1.88805997,1.37406695
99,0.65,1.5403,1.87221277,1.36828828
100,0.65,1.5492,1.98200035,1.40783536
101,0.68,1.5589,2.02434206,1.42279375
102,0.67,1.5159,1.91801488,1.38492417
103,0.66,1.5151,1.84698462,1.35903811
104,0.7,1.5245,1.91541278,1.38398445
105,0.69,1.4957,1.8384999,1.35591292
106,0.66,1.5032,1.8718338,1.36814976
107,0.64,1.5171,1.90428448,1.37995815
108,0.69,1.5041,1.99776638,1.41342366
109,0.68,1.5107,1.89002025,1.37478006
110,0.68,1.4466,1.75780642,1.32582295
111,0.69,1.4373,1.7451781,1.32105184
112,0.69,1.5048,1.94357467,1.39412153
113,0.69,1.506,1.87697446,1.37002718
114,0.64,1.5983,2.12560487,1.45794547
115,0.69,1.5246,1.8441515,1.35799539
116,0.65,1.5526,1.99503875,1.41245842
117,0.68,1.4938,1.86722696,1.36646509
118,0.67,1.5091,1.9594295,1.39979625
119,0.69,1.5713,2.1253531,1.45785904
120,0.68,1.5484,1.9378891,1.3920809
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.025,40.502,387.340088,19.6809578
2,0.06,33.474,365.070496,19.1068172
3,0.11,26.782,325.460907,18.040535
