-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.04,37.01,380.660461,19.5105228
2,0.11,29.978,340.357117,18.4487705
3,0.13,23.495,280.913818,16.7604828
4,0.2,17.698,217.393784,14.7442799
5,0.25,12.614,157.603638,12.5540295
6,0.34,9.0111,100.267944,10.0133886
7,0.35,6.7767,59.768734,7.73102427
8,0.37,5.731,36.5960083,6.04946327
9,0.43,4.8563,24.8858566,4.9885726
10,0.45,3.9796,17.274374,4.15624523
11,0.51,3.3249,13.2771702,3.643785
12,0.63,2.2673,6.46513224,2.54266238
13,0.69,1.9238,4.61865377,2.14910531
14,0.64,2.1408,6.13004255,2.47589231
15,0.7,1.8772,4.19613552,2.04844713
16,0.65,1.9262,4.91837788,2.21774149
17,0.68,1.7974,5.21294832,2.2831881
18,0.73,1.578,3.26779699,1.80770493
19,0.73,1.5523,4.02939653,2.00733566
20,0.74,1.3346,1.66100204,1.28879869
21,0.73,1.373,1.65875256,1.28792572
22,0.71,1.4071,1.77772951,1.33331525
23,0.73,1.3558,1.63106048,1.27712977
24,0.75,1.272,1.34068453,1.15787935
25,0.71,1.2817,1.35505009,1.1640662
26,0.76,1.3167,1.49630678,1.2232362
27,0.73,1.3429,1.63489008,1.27862823
28,0.73,1.3095,1.610726,1.26914382
29,0.76,1.3121,1.59628236,1.26344073
30,0.73,1.2982,1.75805306,1.32591593
31,0.76,1.2627,1.48630726,1.21914196
32,0.73,1.2752,1.60808587,1.26810324
33,0.72,1.2877,1.52678061,1.23562968
34,0.76,1.2272,1.41525376,1.18964434
35,0.73,1.2363,1.30348468,1.14170253
36,0.73,1.3861,1.64411104,1.28222895
37,0.71,1.335,1.56106293,1.24942505
38,0.73,1.3515,1.53769279,1.24003744
39,0.77,1.2352,1.44642889,1.2026757
40,0.74,1.2409,1.36387968,1.16785264
41,0.73,1.2763,1.55193961,1.24576867
42,0.75,1.2755,1.39822173,1.18246424
43,0.75,1.2694,1.48638964,1.21917582
44,0.75,1.226,1.34827328,1.16115165
45,0.76,1.2111,1.27464247,1.12900066
46,0.78,1.2609,1.36389089,1.16785741
47,0.71,1.3313,1.35749698,1.16511679
48,0.72,1.326,1.48094177,1.21693945
49,0.73,1.3196,1.49905634,1.22435951
50,0.75,1.273,1.4507097,1.20445406
51,0.79,1.2043,1.39291537,1.18021834
52,0.75,1.2777,1.43723369,1.19884682
53,0.73,1.3274,1.60079229,1.26522422
54,0.76,1.2502,1.35846257,1.16553104
55,0.75,1.2391,1.28324318,1.1328032
56,0.75,1.2628,1.36345518,1.16767085
57,0.69,1.3471,1.52132607,1.23342049
58,0.73,1.37,1.53509533,1.23898971
59,0.73,1.3515,1.38331783,1.17614532
60,0.73,1.3082,1.56651735,1.25160599
61,0.76,1.2555,1.27766216,1.13033724
62,0.77,1.2686,1.54458272,1.2428124
63,0.75,1.2569,1.481251,1.21706653
64,0.72,1.3115,1.54211831,1.24182057
65,0.76,1.2802,1.51116514,1.22929454
66,0.75,1.3011,1.59535253,1.26307261
