-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.03,39.694,369.472443,19.2216663
2,0.072,33.184,334.700104,18.2948112
3,0.095,27.266,281.885895,16.7894573
4,0.1,22.129,222.216171,14.9069166
5,0.13,17.738,168.963074,12.99858
6,0.14,14.312,120.107803,10.9593706
7,0.18,11.483,85.0831375,9.22405148
8,0.24,8.9283,61.2063675,7.82345009
9,0.32,6.8002,43.0983849,6.56493616
10,0.33,5.05,26.6917648,5.16640759
11,0.38,3.9269,14.9922028,3.87197661
12,0.4,3.4519,8.9784441,2.99640512
13,0.45,3.1152,7.55770969,2.74912882
14,0.49,2.8567,7.09605312,2.66384172
15,0.54,2.5667,5.84420824,2.41747975
16,0.56,2.3084,4.48628998,2.11808634
17,0.59,2.1663,4.29133654,2.07155418
18,0.58,2.195,4.36899233,2.09021354
19,0.62,2.1393,3.82928467,1.95685577
20,0.62,2.0192,3.59791183,1.89681625
21,0.64,1.8288,2.64577818,1.62658477
22,0.63,1.9882,3.62819576,1.9047823
23,0.62,1.9664,3.20620108,1.79058683
24,0.62,1.9654,3.17198372,1.78100634
25,0.62,1.998,3.83376718,1.95800078
26,0.63,1.9368,3.16331363,1.77857065
27,0.64,1.8779,2.99153519,1.72960556
28,0.62,1.8808,2.90129733,1.70331955
29,0.61,1.9515,3.11869264,1.76598203
30,0.6,1.9937,3.24565339,1.8015697
31,0.58,2.057,3.30382061,1.8176415
32,0.6,2.0178,3.06668234,1.75119448
33,0.59,1.9649,2.93954754,1.71451092
34,0.59,1.9419,2.66658258,1.63296735
35,0.6,1.957,2.78559566,1.6690104
36,0.62,1.8869,2.6478548,1.62722301
37,0.63,1.8565,2.51747918,1.58665657
38,0.6,1.9162,2.83401871,1.68345439
39,0.62,1.8838,2.61586857,1.61736465
40,0.62,1.8369,2.38393164,1.5439986
41,0.62,1.8595,2.66855741,1.63357198
42,0.6,1.8435,2.31173468,1.52043891
43,0.6,1.8504,2.43655944,1.56094825
44,0.58,1.8786,2.32695842,1.52543712
45,0.62,1.8893,2.55412316,1.59816241
46,0.61,1.8611,2.3376236,1.52892888
47,0.61,1.8793,2.54429483,1.59508455
48,0.61,1.8634,2.44404459,1.56334412
49,0.6,1.9196,2.60702848,1.61462951
50,0.62,1.8469,2.38361073,1.54389465
51,0.61,1.8825,2.42859077,1.55839372
52,0.6,1.8929,2.40015769,1.54924428
53,0.6,1.925,2.58469343,1.6076982
54,0.59,1.9331,2.55493546,1.59841657
55,0.6,1.8943,2.57567549,1.60489118
56,0.6,1.9238,2.59900284,1.61214232
57,0.61,1.8951,2.50880766,1.58392155
58,0.62,1.8699,2.72737575,1.65147686
59,0.61,1.8569,2.28607488,1.51197708
60,0.61,1.8515,2.47542429,1.57334816
61,0.6,1.8894,2.51348329,1.58539689
62,0.6,1.8978,2.46073985,1.56867456
63,0.61,1.9025,2.5841701,1.60753536
64,0.6,1.8879,2.50713587,1.58339381
65,0.62,1.8601,2.49693155,1.58016825
66,0.62,1.8997,2.61369538,1.61669278
67,0.6,1.8921,2.53979421,1.59367311
