-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.04,39.642,410.364777,20.2574615
2,0.08,32.225,384.546417,19.6098557
3,0.14,25.322,334.151978,18.2798252
4,0.23,19.153,266.792572,16.333786
5,0.29,13.927,191.550217,13.840167
6,0.34,9.6584,122.97155,11.0892534
7,0.45,6.5021,70.1719513,8.37687016
8,0.4,5.223,35.3055229,5.94184494
9,0.51,3.6765,17.5211315,4.18582487
10,0.65,2.5137,8.97548485,2.99591136
11,0.6,2.86,11.9266596,3.45349956
12,0.63,2.3032,8.74292564,2.95684385
13,0.71,1.8189,5.28268385,2.29840899
14,0.8,1.4852,3.38755774,1.84053195
15,0.77,1.3928,2.47169852,1.5721637
16,0.75,1.3032,2.17415118,1.4745003
17,0.82,1.1637,1.49769819,1.22380483
18,0.8,1.2622,3.00895715,1.73463452
19,0.75,1.3415,4.11558342,2.0286901
20,0.77,1.3983,3.507761,1.8729018
21,0.79,1.2048,1.852705,1.36114109
22,0.78,1.1135,1.20360041,1.09708726
23,0.82,1.2236,1.80287826,1.342713
24,0.8,1.1329,1.57957852,1.25681281
25,0.78,1.1309,1.3887862,1.17846775
26,0.74,1.1783,1.79865384,1.34113896
27,0.77,1.1989,1.79466653,1.3396517
28,0.83,1.0511,1.44762981,1.20317495
29,0.84,0.95825,1.01973307,1.00981832
30,0.79,0.94848,1.09071016,1.04437065
31,0.84,0.96761,1.03885531,1.01924253
32,0.83,1.0703,1.375036,1.17261922
33,0.77,1.119,1.49512064,1.22275126
34,0.79,1.0683,1.20736647,1.09880233
35,0.8,1.0959,1.35903263,1.16577554
36,0.81,1.0881,1.4175185,1.19059587
37,0.81,1.0405,1.32096231,1.14933121
38,0.83,1.0498,1.57780612,1.25610757
39,0.82,0.96024,1.02027678,1.01008749
40,0.82,1.0528,1.29659307,1.13868034
41,0.81,1.0048,1.25159574,1.11874747
42,0.81,1.0799,1.36963725,1.17031503
43,0.83,1.0114,1.1498549,1.07231295
44,0.8,1.027,1.12553799,1.0609138
45,0.83,1.0894,1.57055259,1.25321686
46,0.82,1.0147,1.23719561,1.11229289
47,0.82,1.0818,1.59128845,1.26146281
48,0.84,0.99988,1.1801194,1.08633304
49,0.81,0.98982,1.12423921,1.06030154
50,0.8,1.0614,1.17949462,1.08604538
51,0.8,1.0796,1.39125848,1.1795162
52,0.77,1.0923,1.56710958,1.2518425
53,0.8,1.0827,1.43725133,1.19885421
54,0.85,0.98389,1.34340537,1.15905368
55,0.81,0.97965,1.16136038,1.07766438
56,0.78,1.0317,1.15537989,1.07488596
57,0.81,1.0742,1.46659684,1.21103132
58,0.8,1.0317,1.20175183,1.09624445
59,0.8,1.0641,1.3110404,1.14500678
60,0.76,1.0585,1.37288833,1.17170322
61,0.78,1.0691,1.43806696,1.19919431
62,0.8,1.1631,1.84042358,1.3566221
63,0.82,1.0541,1.5763396,1.25552356
64,0.84,1.0044,1.13820422,1.06686652
65,0.8,1.0235,1.15096152,1.07282877
66,0.77,1.0521,1.31388426,1.14624786
67,0.8,1.0654,1.3154639,1.14693677
68,0.83,0.98776,1.00706482,1.00352621
69,0.82,1.0401,1.35294664,1.16316235
70,0.8,1.0361,1.14834082,1.07160664
71,0.82,1.0315,1.56680703,1.25172162
72,0.82,1.0537,1.30583429,1.14273107
73,0.83,1.0284,1.17823184,1.08546388
74,0.81,1.0219,1.26503825,1.12473917
75,0.79,1.0694,1.36130202,1.16674852
