-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.027,42.04,352.253448,18.7684155
2,0.053,34.617,329.173889,18.1431503
3,0.08,27.386,296.726135,17.2257404
4,0.16,20.743,247.374817,15.7281532
5,0.23,15.157,184.0271,13.5656586
6,0.25,10.763,121.175903,11.0079927
7,0.26,8.0421,70.4923096,8.39597034
8,0.27,6.2883,41.2403641,6.42186594
9,0.37,4.9778,25.3449116,5.03437281
10,0.48,4.1276,19.5705376,4.42386007
11,0.53,3.2104,11.7747078,3.43142939
12,0.6,2.5247,7.88279295,2.80763125
13,0.66,2.1365,6.25399351,2.50079846
14,0.71,1.7687,4.64791441,2.15590215
15,0.77,1.7153,5.19660425,2.2796061
16,0.75,1.8433,6.05097198,2.45987225
17,0.71,2.1284,8.66378498,2.9434309
18,0.73,1.6313,3.95992994,1.98995733
19,0.73,1.6333,4.58974886,2.14236999
20,0.73,1.5053,2.86164451,1.69163954
21,0.72,1.4838,2.98314238,1.72717762
22,0.71,1.5259,3.48557067,1.86696827
23,0.71,1.591,3.25999713,1.80554616
24,0.7,1.4895,2.58031583,1.60633612
25,0.72,1.4183,2.14070845,1.46311593
26,0.75,1.3426,1.9941901,1.41215789
27,0.76,1.3085,1.98553395,1.4090898
28,0.75,1.2993,1.8076427,1.344486
29,0.76,1.2865,1.84775352,1.359321
30,0.72,1.355,2.14142489,1.46336079
31,0.73,1.367,1.9142518,1.38356495
32,0.72,1.4143,2.12917113,1.45916796
33,0.71,1.3765,1.94203448,1.39356899
34,0.71,1.3735,2.02167296,1.42185545
35,0.77,1.2451,1.82290602,1.35015035
36,0.77,1.2646,2.02758527,1.42393303
37,0.8,1.2016,1.85198367,1.36087608
38,0.75,1.1925,1.65273118,1.285586
39,0.76,1.2773,1.92920959,1.38895988
40,0.75,1.2748,1.74067986,1.31934822
41,0.71,1.3907,2.29222655,1.51401007
42,0.71,1.4285,2.35488105,1.53456211
43,0.72,1.3894,2.31609774,1.52187312
44,0.76,1.3594,2.50425649,1.58248425
45,0.79,1.195,1.83504367,1.35463786
46,0.79,1.145,1.51292479,1.23001003
47,0.79,1.1761,1.70655441,1.30635154
48,0.75,1.1821,1.56884289,1.25253463
49,0.76,1.2425,1.86444139,1.36544549
50,0.74,1.2584,1.60863531,1.26831985
51,0.75,1.3055,1.85915995,1.36351013
52,0.73,1.3825,2.41789031,1.55495667
53,0.73,1.2702,1.74965465,1.32274508
54,0.75,1.2853,2.26963449,1.50653064
55,0.77,1.1967,1.70613492,1.30619097
56,0.8,1.1431,1.67254651,1.29326975
57,0.81,1.1457,1.58200049,1.25777602
58,0.76,1.1491,1.53689647,1.23971629
59,0.77,1.2593,1.91029084,1.38213277
60,0.75,1.2845,1.90399718,1.37985408
61,0.73,1.3638,2.36623788,1.53825808
62,0.73,1.3927,2.13825822,1.46227849
63,0.73,1.3123,2.12775588,1.45868289
64,0.77,1.2292,1.64637935,1.28311312
65,0.79,1.1589,1.62008655,1.27282619
66,0.79,1.1542,1.55504036,1.24701262
67,0.77,1.213,1.85181487,1.36081409
68,0.78,1.1188,1.30055702,1.14041972
69,0.75,1.274,1.7146554,1.30944848
70,0.75,1.3301,2.00297451,1.41526484
71,0.75,1.3401,1.98350525,1.40836966
72,0.75,1.3099,2.07034326,1.43886876
73,0.75,1.1931,1.44692564,1.20288217
74,0.77,1.2192,1.87698853,1.37003231
75,0.75,1.1664,1.55110323,1.24543297
76,0.78,1.1518,1.58219445,1.25785303
77,0.79,1.2089,1.81639457,1.34773684
78,0.75,1.2242,1.78490651,1.3360039
79,0.77,1.2655,2.02703571,1.42374003
80,0.73,1.3589,1.97525799,1.40543866
81,0.74,1.3788,2.46309233,1.56942415
82,0.75,1.3353,2.18634701,1.47863019
83,0.76,1.2777,2.24324131,1.49774539
84,0.79,1.1936,1.72872174,1.31480861
85,0.79,1.1679,1.64687347,1.28330564
86,0.78,1.1875,1.67897379,1.29575217
87,0.77,1.1721,1.57302296,1.25420213
88,0.73,1.2605,1.78764415,1.33702815
89,0.74,1.323,2.01539183,1.41964495
90,0.74,1.3151,2.15512824,1.46803546
91,0.74,1.3434,2.06789207,1.43801665
92,0.77,1.2482,1.9460305,1.39500201
93,0.77,1.237,2.06592655,1.43733311
94,0.75,1.1783,1.65292692,1.28566206
95,0.78,1.1433,1.57901037,1.25658679
96,0.8,1.1652,1.73797715,1.31832361
97,0.76,1.2477,1.77852261,1.33361256
98,0.76,1.2775,1.86588836,1.36597526
99,0.73,1.3818,2.54755735,1.59610701
100,0.73,1.354,2.15528607,1.46808922
101,0.75,1.3565,2.35307407,1.53397322
102,0.76,1.2382,1.89061785,1.37499738
103,0.76,1.2076,1.80028594,1.34174728
104,0.79,1.1513,1.59131372,1.26147282
105,0.79,1.1749,1.62324178,1.27406502
106,0.79,1.1797,1.42950523,1.19561923
107,0.77,1.2172,1.5861659,1.25943077
108,0.74,1.2882,1.80688119,1.34420276
109,0.73,1.3079,1.93715334,1.39181662
110,0.74,1.3,1.94720399,1.39542258
111,0.77,1.1987,1.46450675,1.210168
112,0.8,1.1968,1.81002748,1.34537256
113,0.76,1.2015,1.88889813,1.37437189
114,0.79,1.1473,1.55562723,1.24724782
115,0.78,1.1767,1.70441842,1.30553377
116,0.77,1.2629,1.78611171,1.33645487
117,0.77,1.2673,1.70478654,1.30567479
118,0.71,1.3792,2.31785059,1.5224489
119,0.73,1.3463,2.07948828,1.44204307
120,0.73,1.3252,2.37347054,1.54060721
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.033,38.875,452.020721,21.2607784
2,0.11,31.881,410.716339,20.2661381
3,0.17,25.489,343.272491,18.5276146
4,0.24,19.746,265.640259,16.2984753
5,0.23,14.871,188.348343,13.7240057
6,0.27,11.08,124.301605,11.1490631
7,0.37,8.1557,79.8014832,8.93316746
8,0.4,6.5339,50.2257118,7.08700991
9,0.43,5.1599,31.6547279,5.6262536
10,0.51,3.7688,20.1113014,4.4845624
11,0.52,2.9886,11.4825716,3.38859439
12,0.58,2.4047,7.52595949,2.74334836
13,0.63,2.1736,5.91918325,2.43293715
14,0.71,1.7323,3.80222344,1.94992912
15,0.75,1.6588,4.47669935,2.11582112
16,0.72,1.6858,4.55280399,2.13373017
17,0.72,1.7242,5.16559553,2.27279472
18,0.71,1.8565,6.34505939,2.51894021
19,0.77,1.396,2.88829207,1.69949758
20,0.79,1.3055,2.34181452,1.53029883
21,0.73,1.4711,2.89950466,1.70279324
22,0.71,1.5847,3.29917002,1.81636167
23,0.73,1.5192,3.39875317,1.84357071
24,0.71,1.363,2.29018426,1.51333547
25,0.77,1.282,2.29526615,1.51501358
26,0.77,1.2997,2.71262503,1.64700484
27,0.81,1.1015,1.42035902,1.1917882
28,0.79,1.2171,2.51854897,1.58699369
29,0.76,1.2626,2.22904682,1.4929992
30,0.75,1.3443,2.72379589,1.65039265
31,0.75,1.3045,2.09638929,1.44789135
32,0.75,1.2226,1.55009866,1.24502957
33,0.76,1.2221,1.69835818,1.30321074
34,0.75,1.252,1.80014277,1.341694
35,0.77,1.2378,1.7073971,1.30667412
36,0.79,1.1964,1.72986484,1.31524324
37,0.75,1.261,2.08863211,1.4452101
38,0.75,1.1961,1.65263093,1.2855469
39,0.78,1.2085,1.76750898,1.32947695
40,0.78,1.192,1.62880647,1.27624702
41,0.77,1.2287,1.78994894,1.33788979
42,0.75,1.2946,2.26722598,1.50573111
43,0.73,1.2802,1.99074566,1.41093791
44,0.76,1.2229,1.88346291,1.37239313
45,0.78,1.2164,1.86324096,1.36500585
46,0.77,1.1671,1.51149166,1.22942734
47,0.77,1.2621,2.11979818,1.45595264
48,0.73,1.2548,1.86068475,1.36406922
49,0.75,1.2773,2.06906247,1.43842363
50,0.75,1.3004,2.10334945,1.45029283
51,0.78,1.2067,1.66715348,1.29118299
52,0.79,1.1815,1.68304646,1.29732287
53,0.76,1.209,1.86695087,1.36636412
54,0.79,1.1988,1.68173444,1.29681706
55,0.75,1.2331,1.85681939,1.36265159
56,0.77,1.2176,1.88036978,1.37126577
57,0.76,1.1664,1.49736977,1.2236706
58,0.77,1.1696,1.69993818,1.3038168
59,0.79,1.1543,1.45949006,1.20809352
60,0.75,1.2248,1.84362888,1.35780299
61,0.75,1.2861,2.25503492,1.50167739
62,0.76,1.2293,1.7268095,1.31408131
63,0.77,1.2574,2.22175741,1.49055612
64,0.79,1.1977,1.77109909,1.3308264
65,0.77,1.22,1.94104612,1.39321434
66,0.77,1.2396,1.98731625,1.40972209
67,0.75,1.2738,2.16511893,1.47143424
68,0.77,1.257,2.06926441,1.43849373
69,0.76,1.2654,1.90594447,1.38055944
70,0.77,1.2017,1.68433905,1.29782093
71,0.77,1.2162,1.84825182,1.35950422
72,0.77,1.1482,1.46601915,1.21079278
73,0.79,1.1788,1.76786685,1.32961154
74,0.77,1.2081,1.68065441,1.29640055
75,0.79,1.2146,1.81933367,1.34882677
76,0.76,1.1923,1.70276153,1.3048991
77,0.81,1.1338,1.49984765,1.22468269
78,0.77,1.181,1.54647207,1.24357235
79,0.76,1.1691,1.59310472,1.26218247
80,0.79,1.1784,1.76852107,1.32985759
81,0.77,1.2622,2.2676847,1.50588334
82,0.79,1.1851,1.83986771,1.35641718
83,0.79,1.2113,1.88640106,1.37346315
84,0.77,1.1311,1.52060497,1.23312819
85,0.76,1.2077,1.88506567,1.3729769
86,0.75,1.2908,2.25581098,1.50193572
87,0.79,1.2706,2.25280333,1.50093412
88,0.77,1.2694,2.07646108,1.44099307
89,0.75,1.2191,1.77381158,1.33184516
90,0.79,1.1653,1.68736148,1.29898477
91,0.78,1.1797,1.57958293,1.2568146
92,0.79,1.1942,1.83080685,1.35307312
93,0.79,1.126,1.3616873,1.16691363
94,0.77,1.2052,1.85589933,1.36231399
95,0.77,1.1945,1.77650988,1.33285773
96,0.8,1.1395,1.495309,1.22282827
97,0.81,1.1563,1.61259305,1.2698791
98,0.79,1.1388,1.56580651,1.25132191
99,0.75,1.2425,2.06241345,1.43611062
100,0.77,1.2734,2.22494984,1.49162662
101,0.79,1.1959,1.83709097,1.35539329
102,0.77,1.2457,2.2537334,1.50124395
103,0.79,1.1166,1.55355763,1.24641788
104,0.77,1.2269,2.12682915,1.4583652
105,0.77,1.2128,1.75015891,1.3229357
106,0.76,1.2926,2.42026258,1.55571938
107,0.76,1.2063,1.70492995,1.30572963
108,0.78,1.1894,1.78282583,1.33522499
109,0.77,1.1815,1.58698785,1.25975704
110,0.78,1.1478,1.50110078,1.22519422
111,0.78,1.1763,1.69796252,1.30305886
112,0.78,1.2094,1.80033696,1.34176636
113,0.77,1.1732,1.65394092,1.28605628
114,0.81,1.1484,1.58446538,1.25875556
115,0.77,1.1419,1.5468111,1.24370861
116,0.79,1.1118,1.33179462,1.15403402
117,0.77,1.1606,1.64969909,1.28440607
118,0.76,1.1979,1.7163676,1.31010211
119,0.79,1.2187,1.91638827,1.38433671
120,0.77,1.1996,1.76793444,1.32963693
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.027,41.111,438.769379,20.9468231
2,0.06,33.783,416.098877,20.3985023
3,0.15,26.975,360.945648,18.9985695
4,0.17,21.132,284.270477,16.860323
5,0.23,15.994,210.581635,14.5114307
6,0.25,12.11,141.524597,11.8964109
7,0.25,9.1665,92.5646896,9.62105465
8,0.33,7.0989,61.252655,7.82640743
9,0.38,6.1168,42.450119,6.51537561
10,0.41,4.9439,26.9946976,5.19564199
11,0.49,3.4362,16.1724663,4.02150059
12,0.59,2.649,9.76571178,3.12501383
13,0.66,1.9899,4.08770657,2.02180767
14,0.72,1.6928,3.29693556,1.81574655
15,0.71,1.7578,4.82819223,2.19731474
16,0.75,1.6303,4.40897226,2.09975529
17,0.82,1.2974,2.60650063,1.61446607
18,0.8,1.4116,4.03355455,2.00837111
19,0.76,1.4848,4.2296257,2.05660534
20,0.77,1.5812,5.1423192,2.26766825
21,0.74,1.4052,3.04546165,1.74512506
22,0.77,1.4344,3.21484232,1.79299819
23,0.75,1.3185,2.08825016,1.4450779
24,0.75,1.3581,2.5043745,1.58252156
25,0.75,1.3467,2.64314198,1.62577426
